"Name","Positive","Negative","Target"
"CLIC6",1666,10929,TRUE
"CLIC6",1986,12757,TRUE
"CLIC6",1861,12189,TRUE
"DSCR3",2134,13173,TRUE
"DSCR3",1937,11939,TRUE
"SYNJ1",1788,11285,TRUE
"SYNJ1",1856,11011,TRUE
"SYNJ1",2035,12286,TRUE
"AMELX",650,13335,TRUE
"AMELX",597,13712,TRUE
"AMELX",671,14352,TRUE
"AMELY",616,14312,TRUE
"AMELY",630,14392,TRUE
"ATP11C",314,9123,TRUE
"ATP11C",545,13030,TRUE
"ATP11C",635,14264,TRUE
"IL13RA1",573,11036,TRUE
"IL13RA1",672,13822,TRUE
"IL13RA1",681,14621,TRUE
"SRY",543,12052,TRUE
"SRY",676,14067,TRUE
"SRY",586,13464,TRUE
"C18ORF62",1370,13558,FALSE
"C18ORF62",1392,13630,FALSE
"ITGBL1",1457,13850,FALSE
"ITGBL1",1309,12567,FALSE
"LAMA3",1207,12778,FALSE
"LAMA3",1340,12969,FALSE
"LAMA3",1317,13706,FALSE
"LNX2",1075,10534,FALSE
"LNX2",1304,13190,FALSE
"LNX2",1389,13913,FALSE
"SMCHD1",734,8703,FALSE
"SMCHD1",1050,12525,FALSE
"SMCHD1",1288,13611,FALSE
